Region,kommune,valgsted_navn,bogstavbetegnelse,kandidat_navn,parti,stemmer
,Brønderslev,1. Agersted,A,"Inge Pedersen, Vadum",Socialdemokratiet,2
,Brønderslev,1. Agersted,A,"Susanne Talbot, Storvorde",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Allan Rank, Bælum",Socialdemokratiet,0
,Brønderslev,1. Agersted,A,"Vagn Flink, Hobro",Socialdemokratiet,0
,Brønderslev,1. Agersted,B,Listestemmer,Radikale Venstre,5
,Brønderslev,1. Agersted,B,"Ninni Lodahl Gjessing, Vest.H.Kom",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Kjeld Lundager Jørgensen, Reb.kom",Radikale Venstre,1
,Brønderslev,1. Agersted,B,"Louise Lundbeck Krog, Aalborg",Radikale Venstre,1
,Brønderslev,1. Agersted,B,"Gustav Sieg Sørensen, Thisted Komm",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Thorsteinn Arnason, Vester Hassing",Radikale Venstre,1
,Brønderslev,1. Agersted,B,"Jesper Hansen, Jammerbugt Kommune",Radikale Venstre,1
,Brønderslev,1. Agersted,B,"Keld Kollerup Kvist, Aalborg Kommu",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Jørgen Hein, Aalborg",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Marianne Bøgedal Etheridge, Sæby",Radikale Venstre,2
,Brønderslev,1. Agersted,B,"Lis Skaanning, Hjørring Kommune",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Bent Jørgensen, Aalborg",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Michael Portefée P. Lex, Reb. Komm",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Christian Stavad, Frederikshavn",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Erling Ramme Nielsen, Klarup",Radikale Venstre,1
,Brønderslev,1. Agersted,B,"Peter Carstensen, Mariagerfj. Komm",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Karina Kroustrup, Aalborg",Radikale Venstre,0
,Brønderslev,1. Agersted,B,"Børge V. Madsen, Morsø Kommune",Radikale Venstre,0
,Brønderslev,1. Agersted,C,Listestemmer,Det Konservative Folkeparti,4
,Brønderslev,1. Agersted,C,"Per Larsen, Hjørring",Det Konservative Folkeparti,12
,Brønderslev,1. Agersted,C,"Kirsten Moesgaard, Vesth. Kommune",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Vibeke Gamst, Aalborg",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Christen Overgaard, Hurup, Thy",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Søren Brink, Aabybro",Det Konservative Folkeparti,1
,Brønderslev,1. Agersted,C,"Villy Møller, Frederikshavn",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Christian Johnson, Mariagerf. Komm",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Katrine Hovaldt Krog Madsen,Reb.ko",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Rasmus Rodenberg Pedersen, Aalborg",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Berit Engholm Pedersen, Aalborg",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Steen Jørgensen, Frederikshavn",Det Konservative Folkeparti,2
,Brønderslev,1. Agersted,C,"Karsten Elkjær, Mariagerfjord Komm",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Troels D. Nørmølle, Hjørring",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"O. Høegh-Guldberg, Hadsund",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Bjarne Villadsen, Rebild Kommune",Det Konservative Folkeparti,0
,Brønderslev,1. Agersted,C,"Gry Tange, Aalborg SV",Det Konservative Folkeparti,1
