Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anders Burlund,Liberal Alliance,9,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Bo Ritterbusch,Liberal Alliance,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mick Keller,Liberal Alliance,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Henrik Boye,Liberal Alliance,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kenny Olsen,Liberal Alliance,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lene Foged,Liberal Alliance,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Rigge Nørmark,Liberal Alliance,5,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Karen Westergaard Nielsen,Liberal Alliance,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Charlotte Bie,Liberal Alliance,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Folkebevægelsen mod EU,75,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Rina Ronja Kari,Folkebevægelsen mod EU,77,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lave K. Broch,Folkebevægelsen mod EU,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Ole Nors Nielsen,Folkebevægelsen mod EU,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Karina Rohr Sørensen,Folkebevægelsen mod EU,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Susanna Dyre-Greensite,Folkebevægelsen mod EU,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Christian Juhl,Folkebevægelsen mod EU,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jesper Bræmer,Folkebevægelsen mod EU,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Erik Bach,Folkebevægelsen mod EU,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Thorkil Sohn,Folkebevægelsen mod EU,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Åge Staun,Folkebevægelsen mod EU,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jørgen Grøn,Folkebevægelsen mod EU,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mette Langdal,Folkebevægelsen mod EU,0,Fyns Storkreds
