kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Nyborgkredsen,1. Gudbjerg,Vivi Kier,Det Konservative Folkeparti,C,1
Nyborgkredsen,1. Gudbjerg,Lasse Krull,Det Konservative Folkeparti,C,4
Nyborgkredsen,1. Gudbjerg,Jørgen S. Lundsgaard,Det Konservative Folkeparti,C,6
Nyborgkredsen,1. Gudbjerg,Jan Møller,Det Konservative Folkeparti,C,0
Nyborgkredsen,1. Gudbjerg,Ole Møller,Det Konservative Folkeparti,C,0
Nyborgkredsen,1. Gudbjerg,Partiliste,Centrum-Demokraterne,D,6
Nyborgkredsen,1. Gudbjerg,Jonathan Kvist Hansen,Centrum-Demokraterne,D,1
Nyborgkredsen,1. Gudbjerg,Gert Broxgaard,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Gudbjerg,Elisabeth Christensen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Gudbjerg,Linda K. Clausen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Gudbjerg,Jan Gangborg,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Gudbjerg,Søren Haugaard,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Gudbjerg,Ebbe Kalnæs,Centrum-Demokraterne,D,4
Nyborgkredsen,1. Gudbjerg,Kim Slott Nielsen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Gudbjerg,Hüseyin Tas,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Gudbjerg,Partiliste,Socialistisk Folkeparti,F,17
Nyborgkredsen,1. Gudbjerg,Thomas S. Ammons,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Gudbjerg,Anne Baastrup,Socialistisk Folkeparti,F,12
Nyborgkredsen,1. Gudbjerg,Susanne Harder,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Gudbjerg,Karsten Hønge,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Gudbjerg,Hanne Lauritsen,Socialistisk Folkeparti,F,1
Nyborgkredsen,1. Gudbjerg,Holger Lomholt,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Gudbjerg,Sanne Schroll,Socialistisk Folkeparti,F,1
Nyborgkredsen,1. Gudbjerg,Kaj Stillinger,Socialistisk Folkeparti,F,3
Nyborgkredsen,1. Gudbjerg,Annette Lilja Vilhelmsen,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Gudbjerg,Partiliste,Kristendemokraterne,K,6
Nyborgkredsen,1. Gudbjerg,Lisette Storm Jakobsen,Kristendemokraterne,K,1
Nyborgkredsen,1. Gudbjerg,Tony Bech,Kristendemokraterne,K,1
Nyborgkredsen,1. Gudbjerg,Kristian W. Jakobsen,Kristendemokraterne,K,0
Nyborgkredsen,1. Gudbjerg,Jens Ole Madsen,Kristendemokraterne,K,0
Nyborgkredsen,1. Gudbjerg,Sten Fyhn Mortensen,Kristendemokraterne,K,0
Nyborgkredsen,1. Gudbjerg,Michael D. F. Sørensen,Kristendemokraterne,K,0
Nyborgkredsen,1. Gudbjerg,Partiliste,Minoritetspartiet,M,2
Nyborgkredsen,1. Gudbjerg,Carsten Stage,Minoritetspartiet,M,0
Nyborgkredsen,1. Gudbjerg,Peter Kofod,Minoritetspartiet,M,0
Nyborgkredsen,1. Gudbjerg,Tue Sylvest,Minoritetspartiet,M,0
Nyborgkredsen,1. Gudbjerg,Partiliste,Dansk Folkeparti,O,59
Nyborgkredsen,1. Gudbjerg,Ingrid Marten Monsen,Dansk Folkeparti,O,4
Nyborgkredsen,1. Gudbjerg,Alex Ahrendtsen,Dansk Folkeparti,O,8
Nyborgkredsen,1. Gudbjerg,Allan Andersen,Dansk Folkeparti,O,0
Nyborgkredsen,1. Gudbjerg,Lene Camre,Dansk Folkeparti,O,2
Nyborgkredsen,1. Gudbjerg,Kristian Thulesen Dahl,Dansk Folkeparti,O,27
Nyborgkredsen,1. Gudbjerg,Elisa Hansen,Dansk Folkeparti,O,0
Nyborgkredsen,1. Gudbjerg,René Lundegård,Dansk Folkeparti,O,0
Nyborgkredsen,1. Gudbjerg,Ole Monrad Møller,Dansk Folkeparti,O,0
Nyborgkredsen,1. Gudbjerg,Tina Petersen,Dansk Folkeparti,O,6
Nyborgkredsen,1. Gudbjerg,Partiliste,"Venstre, Danmarks Liberale Parti",V,130
Nyborgkredsen,1. Gudbjerg,Kenneth Muhs,"Venstre, Danmarks Liberale Parti",V,63
Nyborgkredsen,1. Gudbjerg,Eva Laut Andersen,"Venstre, Danmarks Liberale Parti",V,3
Nyborgkredsen,1. Gudbjerg,Anders Basbøll,"Venstre, Danmarks Liberale Parti",V,1
Nyborgkredsen,1. Gudbjerg,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",V,10
Nyborgkredsen,1. Gudbjerg,Britta Schall Holberg,"Venstre, Danmarks Liberale Parti",V,13
Nyborgkredsen,1. Gudbjerg,Lene Høsthaab,"Venstre, Danmarks Liberale Parti",V,5
Nyborgkredsen,1. Gudbjerg,Erik Larsen,"Venstre, Danmarks Liberale Parti",V,28
Nyborgkredsen,1. Gudbjerg,Lars Chr. Lilleholt,"Venstre, Danmarks Liberale Parti",V,6
Nyborgkredsen,1. Gudbjerg,Partiliste,Enhedslisten - De Rød-Grønne,Ø,9
Nyborgkredsen,1. Gudbjerg,Bernard Jeune,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Gudbjerg,Rune Lund,Enhedslisten - De Rød-Grønne,Ø,4
Nyborgkredsen,1. Gudbjerg,Jesper Kiel,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Gudbjerg,Signe Færch,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Gudbjerg,Lone Christiansen,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Gudbjerg,Finn Ove Hansen,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Gudbjerg,Stine Johansen,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Gudbjerg,Morten Pabst Petersen,Enhedslisten - De Rød-Grønne,Ø,0
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,Socialdemokratiet,A,38
Nyborgkredsen,1. Hundstrup Sogn,Niels Sindal,Socialdemokratiet,A,11
Nyborgkredsen,1. Hundstrup Sogn,Poul Andersen,Socialdemokratiet,A,3
Nyborgkredsen,1. Hundstrup Sogn,Lotte Bundsgaard,Socialdemokratiet,A,21
Nyborgkredsen,1. Hundstrup Sogn,Helle Eckeroth,Socialdemokratiet,A,1
Nyborgkredsen,1. Hundstrup Sogn,Carsten Hansen,Socialdemokratiet,A,0
Nyborgkredsen,1. Hundstrup Sogn,Niclas Turan Kandemir,Socialdemokratiet,A,0
Nyborgkredsen,1. Hundstrup Sogn,Jesper Kinch-Jensen,Socialdemokratiet,A,0
Nyborgkredsen,1. Hundstrup Sogn,Niels Chr. Nielsen,Socialdemokratiet,A,2
Nyborgkredsen,1. Hundstrup Sogn,Irene Pedersen,Socialdemokratiet,A,0
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,Det Radikale Venstre,B,30
Nyborgkredsen,1. Hundstrup Sogn,Karen Krebs,Det Radikale Venstre,B,2
Nyborgkredsen,1. Hundstrup Sogn,Jon Gaarsmand,Det Radikale Venstre,B,0
Nyborgkredsen,1. Hundstrup Sogn,Solveig Gaarsmand,Det Radikale Venstre,B,1
Nyborgkredsen,1. Hundstrup Sogn,Morten Kirk Jensen,Det Radikale Venstre,B,0
Nyborgkredsen,1. Hundstrup Sogn,Lars Kaspersen,Det Radikale Venstre,B,0
Nyborgkredsen,1. Hundstrup Sogn,Niels Helveg Petersen,Det Radikale Venstre,B,10
Nyborgkredsen,1. Hundstrup Sogn,Pia Petersen,Det Radikale Venstre,B,0
Nyborgkredsen,1. Hundstrup Sogn,Aage Thomsen,Det Radikale Venstre,B,0
Nyborgkredsen,1. Hundstrup Sogn,Anne-Line Ussing,Det Radikale Venstre,B,1
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,Det Konservative Folkeparti,C,6
Nyborgkredsen,1. Hundstrup Sogn,Henrik Skov,Det Konservative Folkeparti,C,3
Nyborgkredsen,1. Hundstrup Sogn,Casper Andersen,Det Konservative Folkeparti,C,0
Nyborgkredsen,1. Hundstrup Sogn,Bendt Bendtsen,Det Konservative Folkeparti,C,22
Nyborgkredsen,1. Hundstrup Sogn,Carina Christensen,Det Konservative Folkeparti,C,1
Nyborgkredsen,1. Hundstrup Sogn,Vivi Kier,Det Konservative Folkeparti,C,4
Nyborgkredsen,1. Hundstrup Sogn,Lasse Krull,Det Konservative Folkeparti,C,1
Nyborgkredsen,1. Hundstrup Sogn,Jørgen S. Lundsgaard,Det Konservative Folkeparti,C,1
Nyborgkredsen,1. Hundstrup Sogn,Jan Møller,Det Konservative Folkeparti,C,0
Nyborgkredsen,1. Hundstrup Sogn,Ole Møller,Det Konservative Folkeparti,C,0
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,Centrum-Demokraterne,D,3
Nyborgkredsen,1. Hundstrup Sogn,Jonathan Kvist Hansen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Hundstrup Sogn,Gert Broxgaard,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Hundstrup Sogn,Elisabeth Christensen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Hundstrup Sogn,Linda K. Clausen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Hundstrup Sogn,Jan Gangborg,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Hundstrup Sogn,Søren Haugaard,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Hundstrup Sogn,Ebbe Kalnæs,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Hundstrup Sogn,Kim Slott Nielsen,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Hundstrup Sogn,Hüseyin Tas,Centrum-Demokraterne,D,0
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,Socialistisk Folkeparti,F,12
Nyborgkredsen,1. Hundstrup Sogn,Thomas S. Ammons,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Hundstrup Sogn,Anne Baastrup,Socialistisk Folkeparti,F,3
Nyborgkredsen,1. Hundstrup Sogn,Susanne Harder,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Hundstrup Sogn,Karsten Hønge,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Hundstrup Sogn,Hanne Lauritsen,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Hundstrup Sogn,Holger Lomholt,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Hundstrup Sogn,Sanne Schroll,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Hundstrup Sogn,Kaj Stillinger,Socialistisk Folkeparti,F,5
Nyborgkredsen,1. Hundstrup Sogn,Annette Lilja Vilhelmsen,Socialistisk Folkeparti,F,0
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,Kristendemokraterne,K,3
Nyborgkredsen,1. Hundstrup Sogn,Lisette Storm Jakobsen,Kristendemokraterne,K,1
Nyborgkredsen,1. Hundstrup Sogn,Tony Bech,Kristendemokraterne,K,0
Nyborgkredsen,1. Hundstrup Sogn,Kristian W. Jakobsen,Kristendemokraterne,K,0
Nyborgkredsen,1. Hundstrup Sogn,Jens Ole Madsen,Kristendemokraterne,K,0
Nyborgkredsen,1. Hundstrup Sogn,Sten Fyhn Mortensen,Kristendemokraterne,K,0
Nyborgkredsen,1. Hundstrup Sogn,Michael D. F. Sørensen,Kristendemokraterne,K,0
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,Minoritetspartiet,M,2
Nyborgkredsen,1. Hundstrup Sogn,Carsten Stage,Minoritetspartiet,M,0
Nyborgkredsen,1. Hundstrup Sogn,Peter Kofod,Minoritetspartiet,M,0
Nyborgkredsen,1. Hundstrup Sogn,Tue Sylvest,Minoritetspartiet,M,0
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,Dansk Folkeparti,O,19
Nyborgkredsen,1. Hundstrup Sogn,Ingrid Marten Monsen,Dansk Folkeparti,O,0
Nyborgkredsen,1. Hundstrup Sogn,Alex Ahrendtsen,Dansk Folkeparti,O,0
Nyborgkredsen,1. Hundstrup Sogn,Allan Andersen,Dansk Folkeparti,O,0
Nyborgkredsen,1. Hundstrup Sogn,Lene Camre,Dansk Folkeparti,O,1
Nyborgkredsen,1. Hundstrup Sogn,Kristian Thulesen Dahl,Dansk Folkeparti,O,13
Nyborgkredsen,1. Hundstrup Sogn,Elisa Hansen,Dansk Folkeparti,O,0
Nyborgkredsen,1. Hundstrup Sogn,René Lundegård,Dansk Folkeparti,O,1
Nyborgkredsen,1. Hundstrup Sogn,Ole Monrad Møller,Dansk Folkeparti,O,0
Nyborgkredsen,1. Hundstrup Sogn,Tina Petersen,Dansk Folkeparti,O,3
Nyborgkredsen,1. Hundstrup Sogn,Partiliste,"Venstre, Danmarks Liberale Parti",V,41
Nyborgkredsen,1. Hundstrup Sogn,Kenneth Muhs,"Venstre, Danmarks Liberale Parti",V,13
Nyborgkredsen,1. Hundstrup Sogn,Eva Laut Andersen,"Venstre, Danmarks Liberale Parti",V,2
Nyborgkredsen,1. Hundstrup Sogn,Anders Basbøll,"Venstre, Danmarks Liberale Parti",V,1
Nyborgkredsen,1. Hundstrup Sogn,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",V,3
