Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Helsingørkredsen,1. Helsingør Hallen,Inger-Marie Tryde Martensen,Folkebevægelsen mod EU,0,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Malte Bang,Folkebevægelsen mod EU,2,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Mehmet Aksoy,Folkebevægelsen mod EU,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Victoria Ninosca Risbjerg Velasque,Folkebevægelsen mod EU,3,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Troels Juel,Folkebevægelsen mod EU,0,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Tobias Clausen,Folkebevægelsen mod EU,2,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Preben Kristensen,Folkebevægelsen mod EU,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Dansk Folkeparti,187,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Morten Messerschmidt,Dansk Folkeparti,1076,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Anders Primdahl Vistisen,Dansk Folkeparti,13,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Rikke Karlsson,Dansk Folkeparti,22,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Karsten Lorentzen,Dansk Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Tilde Bork,Dansk Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Jørn Dohrmann,Dansk Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Susanne Eilersen,Dansk Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Kristina Jørgensen,Dansk Folkeparti,4,Nordsjællands Storkreds
