Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Gentoftekredsen,2. Munkegård,Bendt Bendtsen,Det Konservative Folkeparti,225,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Josefine Kofoed,Det Konservative Folkeparti,35,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Tove Videbæk,Det Konservative Folkeparti,9,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Nichlas Vind,Det Konservative Folkeparti,5,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Christian Wedell-Neergaard,Det Konservative Folkeparti,2,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Morten Thiessen,Det Konservative Folkeparti,3,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Julie Broe,Det Konservative Folkeparti,5,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Catja C. Gaebel,Det Konservative Folkeparti,1,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Anders Stoltenberg,Det Konservative Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Mette-Katrine Ejby Buch,Det Konservative Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Partiliste,SF - Socialistisk Folkeparti,85,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Margrete Auken,SF - Socialistisk Folkeparti,249,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Tonni Hansen,SF - Socialistisk Folkeparti,5,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Anne-Mette Wehmüller,SF - Socialistisk Folkeparti,8,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Christine Sidenius,SF - Socialistisk Folkeparti,9,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Teis Volstrup,SF - Socialistisk Folkeparti,9,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Jacob Isøe Klærke,SF - Socialistisk Folkeparti,2,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Fathi El-Abed,SF - Socialistisk Folkeparti,2,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Halime Oguz,SF - Socialistisk Folkeparti,2,Københavns Omegns Storkreds
Gentoftekredsen,2. Munkegård,Meta Fuglsang,SF - Socialistisk Folkeparti,3,Københavns Omegns Storkreds
