Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Struerkredsen;1. Lemvig;V;Venstre, Danmarks Liberale Parti;Carsten Kissmeyer;17
Struerkredsen;1. Lemvig;V;Venstre, Danmarks Liberale Parti;Holger Laustsen;3
Struerkredsen;1. Lemvig;V;Venstre, Danmarks Liberale Parti;Kristian Pihl Lorentzen;11
Struerkredsen;1. Lemvig;V;Venstre, Danmarks Liberale Parti;Kenneth Mikkelsen;5
Struerkredsen;1. Lemvig;V;Venstre, Danmarks Liberale Parti;Inger Støjberg;329
Struerkredsen;1. Lemvig;V;Venstre, Danmarks Liberale Parti;Gitte Willumsen;1
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Partiliste;65
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Ditte Stage Kroman;15
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Jakob Sølvhøj;6
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Jakob Lindell Ruggaard;0
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Lea Kielsholm;2
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Mehmet Akbina;1
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Malte Bang;2
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Johnny Zaar;0
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Lars Dohn;0
Struerkredsen;1. Lemvig;Ø;Enhedslisten - De Rød-Grønne;Aksel Rosager Johansen;1
Struerkredsen;1. Lemvig;Å;Alternativet;Partiliste;39
Struerkredsen;1. Lemvig;Å;Alternativet;Stine Isaksen;10
Struerkredsen;1. Lemvig;Å;Alternativet;Andreas Skielboe;2
Struerkredsen;1. Lemvig;Å;Alternativet;Tatjana Stenvad;3
Struerkredsen;1. Lemvig;Å;Alternativet;Nicklas Stampe Raabjerg;2
Struerkredsen;1. Lemvig;Å;Alternativet;Laura Emilie Hollænder Jensen;0
Struerkredsen;1. Lemvig;Å;Alternativet;Brian Bruhn;5
Struerkredsen;1. Struer;A;Socialdemokratiet;Partiliste;756
Struerkredsen;1. Struer;A;Socialdemokratiet;Palle Lykke Ravn;354
Struerkredsen;1. Struer;A;Socialdemokratiet;Anders Andreasen;11
Struerkredsen;1. Struer;A;Socialdemokratiet;Lars Fibæk;6
Struerkredsen;1. Struer;A;Socialdemokratiet;Karin Gaardsted;39
Struerkredsen;1. Struer;A;Socialdemokratiet;Mogens Jensen;79
Struerkredsen;1. Struer;A;Socialdemokratiet;Thomas Jensen;9
Struerkredsen;1. Struer;A;Socialdemokratiet;Flemming Libner;3
Struerkredsen;1. Struer;A;Socialdemokratiet;Annette Lind;401
Struerkredsen;1. Struer;A;Socialdemokratiet;Mette Nielsen;29
Struerkredsen;1. Struer;A;Socialdemokratiet;Anne Paulin;19
Struerkredsen;1. Struer;A;Socialdemokratiet;Peter Kempf Pedersen;0
Struerkredsen;1. Struer;B;Radikale Venstre;Partiliste;133
Struerkredsen;1. Struer;B;Radikale Venstre;Josefine Schlosser;42
Struerkredsen;1. Struer;B;Radikale Venstre;Andreas Steenberg;58
Struerkredsen;1. Struer;B;Radikale Venstre;Rasmus Bach Krabbe;2
Struerkredsen;1. Struer;B;Radikale Venstre;Poul Elmegård;5
Struerkredsen;1. Struer;B;Radikale Venstre;Hanne Ringgaard Møller;6
Struerkredsen;1. Struer;B;Radikale Venstre;Thomas Sloth;1
Struerkredsen;1. Struer;B;Radikale Venstre;Hanne Roed;5
Struerkredsen;1. Struer;C;Det Konservative Folkeparti;Partiliste;45
Struerkredsen;1. Struer;C;Det Konservative Folkeparti;Søren Pape Poulsen;240
Struerkredsen;1. Struer;C;Det Konservative Folkeparti;Pia Olivia Christensen;10
Struerkredsen;1. Struer;C;Det Konservative Folkeparti;René Nord Hansen;3
Struerkredsen;1. Struer;C;Det Konservative Folkeparti;Line Damgaard Lauritsen;1
Struerkredsen;1. Struer;C;Det Konservative Folkeparti;Rasmus Norup;10
Struerkredsen;1. Struer;C;Det Konservative Folkeparti;Margrethe Agerup Præst;3
Struerkredsen;1. Struer;C;Det Konservative Folkeparti;Orla Østerby;33
Struerkredsen;1. Struer;D;Nye Borgerlige;Partiliste;69
Struerkredsen;1. Struer;D;Nye Borgerlige;Nick Mogensen;10
Struerkredsen;1. Struer;D;Nye Borgerlige;Tina Hedegaard Pedersen;9
Struerkredsen;1. Struer;D;Nye Borgerlige;Thomas Bachmann;1
Struerkredsen;1. Struer;D;Nye Borgerlige;Peter Grydehøj;1
Struerkredsen;1. Struer;D;Nye Borgerlige;Helge Hoffmann;2
Struerkredsen;1. Struer;D;Nye Borgerlige;Gitte Keller;2
Struerkredsen;1. Struer;E;Klaus Riskær Pedersen;Partiliste;27
Struerkredsen;1. Struer;E;Klaus Riskær Pedersen;Kim Durup;5
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Partiliste;178
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Signe Munk;72
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Karsten Filsø;22
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Bente Refslund;0
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Hanne D. Jacobsen;61
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Andreas Albertsen;7
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Anders Bøge;1
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Anders Udengaard;1
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Emma Thorup Jacobsen;9
Struerkredsen;1. Struer;F;SF - Socialistisk Folkeparti;Peter Nowack;2
Struerkredsen;1. Struer;I;Liberal Alliance;Partiliste;31
