Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Lisbeth Bech Poulsen;13
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Janni Platz Sthyr;6
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Partiliste;27
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Christina Egelund;11
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Bo Ritterbusch;0
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Martin K. Madsen;1
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Jacob Høfler;2
Frederikshavnkredsen;1. Skagen;I;Liberal Alliance;Claus Hermansen;0
Frederikshavnkredsen;1. Skagen;K;Kristendemokraterne;Partiliste;35
Frederikshavnkredsen;1. Skagen;K;Kristendemokraterne;Britta Eckhardt;5
Frederikshavnkredsen;1. Skagen;K;Kristendemokraterne;Inger Ottesen;3
Frederikshavnkredsen;1. Skagen;K;Kristendemokraterne;David Jakobsen;1
Frederikshavnkredsen;1. Skagen;K;Kristendemokraterne;Piratheep Krishnapalan;2
Frederikshavnkredsen;1. Skagen;K;Kristendemokraterne;Robert Thomsen;2
Frederikshavnkredsen;1. Skagen;K;Kristendemokraterne;Anne-Marie Jørgensen;0
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Partiliste;349
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Bent Bøgsted;95
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Peter Sørensen;15
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Kim Edberg Andersen;34
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Morten Marinus;10
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Hans Henrik Sørensen;4
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Tommy Degn;3
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Lise Bech;17
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Ib Poulsen;8
Frederikshavnkredsen;1. Skagen;O;Dansk Folkeparti;Erik Høgh-Sørensen;13
Frederikshavnkredsen;1. Skagen;P;Stram Kurs;Partiliste;85
Frederikshavnkredsen;1. Skagen;P;Stram Kurs;Uwe Max Jensen;11
Frederikshavnkredsen;1. Skagen;P;Stram Kurs;Danni Pedersen;11
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Partiliste;604
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Henrik Buchhave;60
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Marie Bjerre;26
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Preben Bang Henriksen;241
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Henrik Jørgensen;5
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Karsten Lauritzen;250
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Torsten Schack Pedersen;5
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Thomas Thomsen;2
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Maja Torp;38
Frederikshavnkredsen;1. Skagen;V;Venstre, Danmarks Liberale Parti;Anne Honoré Østergaard;12
Frederikshavnkredsen;1. Skagen;Ø;Enhedslisten - De Rød-Grønne;Partiliste;113
Frederikshavnkredsen;1. Skagen;Ø;Enhedslisten - De Rød-Grønne;Poul-Erik Andersen;15
Frederikshavnkredsen;1. Skagen;Ø;Enhedslisten - De Rød-Grønne;Peder Hvelplund;11
Frederikshavnkredsen;1. Skagen;Ø;Enhedslisten - De Rød-Grønne;Sinem Demir;6
Frederikshavnkredsen;1. Skagen;Ø;Enhedslisten - De Rød-Grønne;Susanne Flydtkjær;4
Frederikshavnkredsen;1. Skagen;Ø;Enhedslisten - De Rød-Grønne;Berit Raldin;0
Frederikshavnkredsen;1. Skagen;Ø;Enhedslisten - De Rød-Grønne;Anna Aaen;4
Frederikshavnkredsen;1. Skagen;Ø;Enhedslisten - De Rød-Grønne;Finn Grøn Nielsen;0
Frederikshavnkredsen;1. Skagen;Ø;Enhedslisten - De Rød-Grønne;Torsten Ringgaard;0
Frederikshavnkredsen;1. Skagen;Å;Alternativet;Partiliste;33
Frederikshavnkredsen;1. Skagen;Å;Alternativet;Susanne Zimmer;7
Frederikshavnkredsen;1. Skagen;Å;Alternativet;Simon Leed Krøs;5
Frederikshavnkredsen;1. Skagen;Å;Alternativet;Ulla Gram Larsen;0
Frederikshavnkredsen;1. Skagen;Å;Alternativet;Christian Gade Bjerrum;3
Frederikshavnkredsen;1. Skagen;Å;Alternativet;Camilla Bundgaard;1
Frederikshavnkredsen;1. Skagen;Å;Alternativet;Gustav Sieg Sørensen;0
Frederikshavnkredsen;1. Skagen;Å;Alternativet;Lars Rosenkvist;0
Frederikshavnkredsen;1. Skagen;Å;Alternativet;Anne-Louise L. Bøttger-Rasmussen;3
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Partiliste;6
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Bjarne Laustsen;12
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Mette Frederiksen;5
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Ane Halsboe-Jørgensen;1
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Orla Hav;1
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Per Husted;0
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Søren Valgreen Knudsen;0
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Simon Kollerup;0
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Flemming Møller Mortensen;0
Frederikshavnkredsen;2. Hulsig;A;Socialdemokratiet;Rasmus Prehn;0
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Partiliste;3
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Amalie Mørkøre Højsholt;0
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Daniel Nyboe Andersen;0
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Niels Arbøl;0
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Casper Hedegaard;0
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Marianne Jelved;0
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Marianne Mulle Jensen;0
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Rikke-Marie Jørgensen;0
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Helle Sommer Kjærgaard;0
Frederikshavnkredsen;2. Hulsig;B;Radikale Venstre;Gitte Lopdrup;0
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Partiliste;5
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Peter E. Nielsen;0
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Henrik Dalgaard;0
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Jens Kindberg;0
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Jens-Henrik Kirk;0
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Per Larsen;1
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Per Møller;0
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Torben Overgaard;0
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Karsten Skov Petersen;0
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Mia Tang;1
Frederikshavnkredsen;2. Hulsig;C;Det Konservative Folkeparti;Morten Thiessen;0
Frederikshavnkredsen;2. Hulsig;D;Nye Borgerlige;Partiliste;0
Frederikshavnkredsen;2. Hulsig;D;Nye Borgerlige;Poul Højlund;1
Frederikshavnkredsen;2. Hulsig;D;Nye Borgerlige;John Bjerg;0
Frederikshavnkredsen;2. Hulsig;D;Nye Borgerlige;Niels M. Christensen;0
Frederikshavnkredsen;2. Hulsig;D;Nye Borgerlige;Frode Larsen;0
Frederikshavnkredsen;2. Hulsig;E;Klaus Riskær Pedersen;Partiliste;0
Frederikshavnkredsen;2. Hulsig;E;Klaus Riskær Pedersen;Rune Frøsig Osmundsen;0
Frederikshavnkredsen;2. Hulsig;E;Klaus Riskær Pedersen;Maria Terese Fog Bartholdy;0
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Partiliste;2
Frederikshavnkredsen;2. Hulsig;F;SF - Socialistisk Folkeparti;Allan Norré Pedersen;0
