Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Peter Westermann,SF - Socialistisk Folkeparti,15,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Partiliste,Liberal Alliance,73,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Anders Samuelsen,Liberal Alliance,118,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Jørgen Christensen,Liberal Alliance,3,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Lars Engelberth,Liberal Alliance,0,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",L. Michael Herløv,Liberal Alliance,1,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Niels Westy Munch-Holbek,Liberal Alliance,2,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Jens E. Pedersen,Liberal Alliance,0,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Rikke Weissfeld,Liberal Alliance,9,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Partiliste,Kristendemokraterne,5,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Ingrid Feldbæk Wredstrøm,Kristendemokraterne,0,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Claus Dyhrberg,Kristendemokraterne,1,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Aron Henning,Kristendemokraterne,0,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Birger Reuss Schmidt,Kristendemokraterne,1,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Gert Svendsen,Kristendemokraterne,0,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Partiliste,Dansk Folkeparti,407,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Finn Rudaizky,Dansk Folkeparti,89,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Pia Adelsteen,Dansk Folkeparti,52,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Chris Bjerknæs,Dansk Folkeparti,5,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Visti Christensen,Dansk Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Walter Christophersen,Dansk Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Marlene Harpsøe,Dansk Folkeparti,55,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Partiliste,"Venstre, Danmarks Liberale Parti",223,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Hans Andersen,"Venstre, Danmarks Liberale Parti",84,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Anne Ehrenreich,"Venstre, Danmarks Liberale Parti",7,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Claus Hjort Frederiksen,"Venstre, Danmarks Liberale Parti",27,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Sophie Løhde,"Venstre, Danmarks Liberale Parti",37,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Klaus Markussen,"Venstre, Danmarks Liberale Parti",1,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Lars Løkke Rasmussen,"Venstre, Danmarks Liberale Parti",527,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Partiliste,Enhedslisten - De Rød-Grønne,245,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Ole Krarup,Enhedslisten - De Rød-Grønne,25,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Jørgen Arbo-Bæhr,Enhedslisten - De Rød-Grønne,21,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Maria Reumert Gjerding,Enhedslisten - De Rød-Grønne,19,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Øjvind Vilsholm,Enhedslisten - De Rød-Grønne,1,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Margit Kjeldgaard,Enhedslisten - De Rød-Grønne,9,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Pelle Andersen-Harild,Enhedslisten - De Rød-Grønne,0,Nordsjællands Storkreds
Helsingørkredsen,"3. Laden, Gl. Vapnagård",Bjarne Holm,(Uden for parti),6,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Partiliste,Socialdemokratiet,276,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Thomas Horn,Socialdemokratiet,283,Nordsjællands Storkreds
Helsingørkredsen,4. Bølgen,Christine Antorini,Socialdemokratiet,70,Nordsjællands Storkreds
