Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Struerkredsen,1. Struer,Annette Lind,Socialdemokratiet,113,Vestjyllands Storkreds
Struerkredsen,1. Struer,Lene Nørlund,Socialdemokratiet,11,Vestjyllands Storkreds
Struerkredsen,1. Struer,Mads Panny,Socialdemokratiet,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Frank Heidemann Sørensen,Socialdemokratiet,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Partiliste,Radikale Venstre,224,Vestjyllands Storkreds
Struerkredsen,1. Struer,Claus Hansen,Radikale Venstre,63,Vestjyllands Storkreds
Struerkredsen,1. Struer,Sanne Bjørn,Radikale Venstre,16,Vestjyllands Storkreds
Struerkredsen,1. Struer,Brian Bruhn,Radikale Venstre,7,Vestjyllands Storkreds
Struerkredsen,1. Struer,Jes Juul Lauesen,Radikale Venstre,3,Vestjyllands Storkreds
Struerkredsen,1. Struer,Erika Lorentsen,Radikale Venstre,4,Vestjyllands Storkreds
Struerkredsen,1. Struer,Andreas Steenberg,Radikale Venstre,7,Vestjyllands Storkreds
Struerkredsen,1. Struer,Partiliste,Det Konservative Folkeparti,76,Vestjyllands Storkreds
Struerkredsen,1. Struer,Andreas Bjerregaard,Det Konservative Folkeparti,3,Vestjyllands Storkreds
Struerkredsen,1. Struer,Frank Borch-Olsen,Det Konservative Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Anne Hansen,Det Konservative Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Camilla Hertzum Johansen,Det Konservative Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Esben Salling Larsen,Det Konservative Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Helge Adam Møller,Det Konservative Folkeparti,32,Vestjyllands Storkreds
Struerkredsen,1. Struer,Anna Margrethe Engbæk Schmidt,Det Konservative Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,John Thorsø,Det Konservative Folkeparti,47,Vestjyllands Storkreds
Struerkredsen,1. Struer,Tove Videbæk,Det Konservative Folkeparti,12,Vestjyllands Storkreds
Struerkredsen,1. Struer,Partiliste,SF - Socialistisk Folkeparti,219,Vestjyllands Storkreds
Struerkredsen,1. Struer,Kristen Touborg,SF - Socialistisk Folkeparti,303,Vestjyllands Storkreds
Struerkredsen,1. Struer,Ulla Blok,SF - Socialistisk Folkeparti,12,Vestjyllands Storkreds
Struerkredsen,1. Struer,Morten Colbert,SF - Socialistisk Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Steen Gade,SF - Socialistisk Folkeparti,15,Vestjyllands Storkreds
Struerkredsen,1. Struer,Søren Gytz,SF - Socialistisk Folkeparti,6,Vestjyllands Storkreds
Struerkredsen,1. Struer,Maren Holm,SF - Socialistisk Folkeparti,18,Vestjyllands Storkreds
Struerkredsen,1. Struer,Sidsel Homann,SF - Socialistisk Folkeparti,6,Vestjyllands Storkreds
Struerkredsen,1. Struer,John Nim,SF - Socialistisk Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Naja Kjær Poulsen,SF - Socialistisk Folkeparti,2,Vestjyllands Storkreds
Struerkredsen,1. Struer,Michael Thomsen,SF - Socialistisk Folkeparti,2,Vestjyllands Storkreds
Struerkredsen,1. Struer,Pia Vestergaard,SF - Socialistisk Folkeparti,8,Vestjyllands Storkreds
Struerkredsen,1. Struer,Partiliste,Liberal Alliance,120,Vestjyllands Storkreds
Struerkredsen,1. Struer,Leif Mikkelsen,Liberal Alliance,52,Vestjyllands Storkreds
Struerkredsen,1. Struer,Anton Benkestok,Liberal Alliance,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Morten Boeck-Hansen,Liberal Alliance,2,Vestjyllands Storkreds
Struerkredsen,1. Struer,Allan Daasbjerg,Liberal Alliance,9,Vestjyllands Storkreds
Struerkredsen,1. Struer,Anne Kathrine Kirk,Liberal Alliance,5,Vestjyllands Storkreds
Struerkredsen,1. Struer,John Robert Knudsen,Liberal Alliance,8,Vestjyllands Storkreds
Struerkredsen,1. Struer,Allan Leer-Holm,Liberal Alliance,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Vibeke Riemer,Liberal Alliance,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Partiliste,Kristendemokraterne,18,Vestjyllands Storkreds
Struerkredsen,1. Struer,Jakob From Høeg,Kristendemokraterne,7,Vestjyllands Storkreds
Struerkredsen,1. Struer,Kristian Andersen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Kurt Bech,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Peter Bjerre,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Karlo Brondbjerg,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Esther Jakobsen,Kristendemokraterne,39,Vestjyllands Storkreds
Struerkredsen,1. Struer,Christian Medom Jensen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Per Ørum Jørgensen,Kristendemokraterne,92,Vestjyllands Storkreds
Struerkredsen,1. Struer,Isabella Arendt Laursen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Jens Kr. M. Nielsen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Kirsten Nielsen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Elisabeth Wagner Olsen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Partiliste,Dansk Folkeparti,364,Vestjyllands Storkreds
Struerkredsen,1. Struer,Søren Olesen,Dansk Folkeparti,124,Vestjyllands Storkreds
Struerkredsen,1. Struer,Preben Andersen,Dansk Folkeparti,5,Vestjyllands Storkreds
Struerkredsen,1. Struer,Karina Due,Dansk Folkeparti,10,Vestjyllands Storkreds
Struerkredsen,1. Struer,Bente Kronborg Flensted,Dansk Folkeparti,8,Vestjyllands Storkreds
Struerkredsen,1. Struer,Dennis Flydtkjær,Dansk Folkeparti,11,Vestjyllands Storkreds
Struerkredsen,1. Struer,Allan Steen Hansen,Dansk Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Christian Langballe,Dansk Folkeparti,29,Vestjyllands Storkreds
Struerkredsen,1. Struer,Leif Lund,Dansk Folkeparti,3,Vestjyllands Storkreds
Struerkredsen,1. Struer,Simon Vanggaard Nielsen,Dansk Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Benny Ragner,Dansk Folkeparti,5,Vestjyllands Storkreds
Struerkredsen,1. Struer,Susanne Thiim,Dansk Folkeparti,10,Vestjyllands Storkreds
Struerkredsen,1. Struer,Partiliste,"Venstre, Danmarks Liberale Parti",422,Vestjyllands Storkreds
Struerkredsen,1. Struer,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",458,Vestjyllands Storkreds
Struerkredsen,1. Struer,Marianne Bredal,"Venstre, Danmarks Liberale Parti",206,Vestjyllands Storkreds
Struerkredsen,1. Struer,Søren Green,"Venstre, Danmarks Liberale Parti",5,Vestjyllands Storkreds
Struerkredsen,1. Struer,Kristian Jensen,"Venstre, Danmarks Liberale Parti",61,Vestjyllands Storkreds
Struerkredsen,1. Struer,Ole Jespersen,"Venstre, Danmarks Liberale Parti",2,Vestjyllands Storkreds
Struerkredsen,1. Struer,Vibeke Juel,"Venstre, Danmarks Liberale Parti",0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Esben Lunde Larsen,"Venstre, Danmarks Liberale Parti",6,Vestjyllands Storkreds
Struerkredsen,1. Struer,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",20,Vestjyllands Storkreds
Struerkredsen,1. Struer,Mads Rørvig,"Venstre, Danmarks Liberale Parti",1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Helge Sander,"Venstre, Danmarks Liberale Parti",14,Vestjyllands Storkreds
Struerkredsen,1. Struer,Inger Støjberg,"Venstre, Danmarks Liberale Parti",141,Vestjyllands Storkreds
Struerkredsen,1. Struer,Partiliste,Enhedslisten - De Rød-Grønne,137,Vestjyllands Storkreds
Struerkredsen,1. Struer,Frederik Madsen,Enhedslisten - De Rød-Grønne,29,Vestjyllands Storkreds
Struerkredsen,1. Struer,Lars Dohn,Enhedslisten - De Rød-Grønne,6,Vestjyllands Storkreds
Struerkredsen,1. Struer,Emil Axelgaard,Enhedslisten - De Rød-Grønne,11,Vestjyllands Storkreds
Struerkredsen,1. Struer,Lene Fruelund,Enhedslisten - De Rød-Grønne,8,Vestjyllands Storkreds
Struerkredsen,1. Struer,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Heidi Steenberg,Enhedslisten - De Rød-Grønne,4,Vestjyllands Storkreds
Struerkredsen,1. Struer,Simon Kristensen,Enhedslisten - De Rød-Grønne,5,Vestjyllands Storkreds
Struerkredsen,1. Struer,Torben A. Hansen,Enhedslisten - De Rød-Grønne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Erik Møller-Jensen,Enhedslisten - De Rød-Grønne,0,Vestjyllands Storkreds
Struerkredsen,1. Struer,Flemming Gundersen,Enhedslisten - De Rød-Grønne,1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Malte Bang,Enhedslisten - De Rød-Grønne,2,Vestjyllands Storkreds
Struerkredsen,1. Struer,Rikke Cramer Christiansen,(Uden for parti),1,Vestjyllands Storkreds
Struerkredsen,1. Struer,Ejgil Kølbæk,(Uden for parti),0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Partiliste,Socialdemokratiet,164,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Rasmus Lynghøj,Socialdemokratiet,276,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Anders Andreasen,Socialdemokratiet,4,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Peder Christensen,Socialdemokratiet,2,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Lars Fibæk,Socialdemokratiet,1,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Karin Gaardsted,Socialdemokratiet,4,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Mogens Jensen,Socialdemokratiet,2,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Thomas Jensen,Socialdemokratiet,1,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Annette Lind,Socialdemokratiet,33,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Lene Nørlund,Socialdemokratiet,3,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Mads Panny,Socialdemokratiet,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Frank Heidemann Sørensen,Socialdemokratiet,1,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Partiliste,Radikale Venstre,75,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Claus Hansen,Radikale Venstre,20,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Sanne Bjørn,Radikale Venstre,7,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Brian Bruhn,Radikale Venstre,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Jes Juul Lauesen,Radikale Venstre,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Erika Lorentsen,Radikale Venstre,1,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Andreas Steenberg,Radikale Venstre,3,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Partiliste,Det Konservative Folkeparti,17,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Andreas Bjerregaard,Det Konservative Folkeparti,5,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Frank Borch-Olsen,Det Konservative Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Anne Hansen,Det Konservative Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Camilla Hertzum Johansen,Det Konservative Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Esben Salling Larsen,Det Konservative Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Helge Adam Møller,Det Konservative Folkeparti,25,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Anna Margrethe Engbæk Schmidt,Det Konservative Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,John Thorsø,Det Konservative Folkeparti,14,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Tove Videbæk,Det Konservative Folkeparti,7,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Partiliste,SF - Socialistisk Folkeparti,69,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Kristen Touborg,SF - Socialistisk Folkeparti,69,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Ulla Blok,SF - Socialistisk Folkeparti,3,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Morten Colbert,SF - Socialistisk Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Steen Gade,SF - Socialistisk Folkeparti,5,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Søren Gytz,SF - Socialistisk Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Maren Holm,SF - Socialistisk Folkeparti,7,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Sidsel Homann,SF - Socialistisk Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,John Nim,SF - Socialistisk Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Naja Kjær Poulsen,SF - Socialistisk Folkeparti,2,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Michael Thomsen,SF - Socialistisk Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Pia Vestergaard,SF - Socialistisk Folkeparti,2,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Partiliste,Liberal Alliance,42,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Leif Mikkelsen,Liberal Alliance,23,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Anton Benkestok,Liberal Alliance,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Morten Boeck-Hansen,Liberal Alliance,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Allan Daasbjerg,Liberal Alliance,4,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Anne Kathrine Kirk,Liberal Alliance,2,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,John Robert Knudsen,Liberal Alliance,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Allan Leer-Holm,Liberal Alliance,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Vibeke Riemer,Liberal Alliance,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Partiliste,Kristendemokraterne,5,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Jakob From Høeg,Kristendemokraterne,2,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Kristian Andersen,Kristendemokraterne,1,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Kurt Bech,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Peter Bjerre,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Karlo Brondbjerg,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Esther Jakobsen,Kristendemokraterne,16,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Christian Medom Jensen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Per Ørum Jørgensen,Kristendemokraterne,24,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Isabella Arendt Laursen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Jens Kr. M. Nielsen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,2. Gimsing,Kirsten Nielsen,Kristendemokraterne,0,Vestjyllands Storkreds
